symbol,timeframe,signal_type,entry_price,tp_target,sl_target,exit_price,exit_reason,timeout_price,pnl_pct,result,timeout_result,hold_bars,mfe,mae,fired_time,achieved_rr,score,confidence
BTC-USDT,1h,SHORT,67673.15909999999,66358.8252,68697.2,67427.8,TIMEOUT,67427.8,0.3625648680556232,WIN,TIMEOUT_WIN,5,0.7139597240998166,-0.20693714001598495,2026-02-22T13:37:13.454431,1.2834779353051118,13,76.7
DOT-USDT,15min,LONG,1.3175161999999998,1.367829,1.31160906,1.31160906,SL,,-0.44835425932521367,LOSS,,8,0.3934524676053458,-0.8968542474088533,2026-02-22T15:27:18.880072,8.517281741233393,13,75.0
DOT-USDT,15min,LONG,1.3168154999999997,1.367829,1.31090836,1.31090836,SL,,-0.4485928362781043,LOSS,,8,0.4468735369533768,-0.8441197722839392,2026-02-22T15:28:19.941365,8.635900846432927,13,75.0
DUCK-USDT,1h,LONG,0.0010590579999999999,0.00106544,0.00105499,0.00105499,SL,,-0.3841149398805228,LOSS,,1,-0.38317070453175617,-0.8552883789178629,2026-02-22T12:52:20.625939,1.5665263157894749,13,74.7
DUCK-USDT,1h,LONG,0.0010590579999999999,0.00106544,0.00105499,0.00105499,SL,,-0.3841149398805228,LOSS,,1,-0.38317070453175617,-0.8552883789178629,2026-02-22T12:52:25.918187,1.5665263157894749,13,74.7
DUCK-USDT,1h,LONG,0.0010590579999999999,0.00106544,0.00105499,0.00105499,SL,,-0.3841149398805228,LOSS,,1,-0.38317070453175617,-0.8552883789178629,2026-02-22T12:53:03.886798,1.5665263157894749,13,74.7
DYDX-USDT,30min,LONG,0.09559549999999999,0.1014098,0.09507407,0.09507407,SL,,-0.5454545454545345,LOSS,,1,-0.20450753435045307,-1.3551893133044874,2026-02-22T15:46:15.322605,11.15071232876708,13,75.0
DYDX-USDT,30min,LONG,0.09559549999999999,0.1014098,0.09507407,0.09507407,SL,,-0.5454545454545345,LOSS,,1,-0.20450753435045307,-1.3551893133044874,2026-02-22T15:46:51.700487,11.15071232876708,13,75.0
DYDX-USDT,30min,LONG,0.09559549999999999,0.1014098,0.09507407,0.09507407,SL,,-0.5454545454545345,LOSS,,1,-0.20450753435045307,-1.3551893133044874,2026-02-22T15:47:02.572384,11.15071232876708,13,75.0
DYDX-USDT,30min,LONG,0.0954954,0.1014098,0.09497397,0.09497397,SL,,-0.5460263007432709,LOSS,,3,-0.09990009990009517,-1.2517880442408738,2026-02-22T15:52:29.488003,11.342684931506788,13,75.0
DYDX-USDT,30min,LONG,0.0954954,0.1014098,0.09497397,0.09497397,SL,,-0.5460263007432709,LOSS,,3,-0.09990009990009517,-1.2517880442408738,2026-02-22T15:53:10.820375,11.342684931506788,13,75.0
DYDX-USDT,30min,LONG,0.0954954,0.1014098,0.09497397,0.09497397,SL,,-0.5460263007432709,LOSS,,3,-0.09990009990009517,-1.2517880442408738,2026-02-22T15:53:14.357907,11.342684931506788,13,75.0
EIGEN-USDT,15min,LONG,0.1823822,0.1923398,0.1816822,0.1816822,SL,,-0.3838093849070831,LOSS,,2,-0.1547300120296731,-2.347926497212988,2026-02-22T16:54:11.971749,14.225142857142748,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T16:55:13.899024,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T16:55:48.237768,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.1823822,0.1923398,0.1816822,0.1816822,SL,,-0.3838093849070831,LOSS,,2,-0.1547300120296731,-2.347926497212988,2026-02-22T16:57:55.451398,14.225142857142748,13,75.0
EIGEN-USDT,15min,LONG,0.1823822,0.1923398,0.1816822,0.1816822,SL,,-0.3838093849070831,LOSS,,2,-0.1547300120296731,-2.347926497212988,2026-02-22T16:58:24.260784,14.225142857142748,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T16:59:09.341954,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T17:01:04.887166,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T17:01:44.405783,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.18258239999999998,0.1923398,0.1818824,0.1818824,SL,,-0.3833885412832663,LOSS,,1,-0.264209474735772,-2.455001139211649,2026-02-22T17:02:29.989683,13.939142857142773,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T17:04:32.991724,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.18248229999999996,0.1923398,0.1817823,0.1817823,SL,,-0.3835988476690347,LOSS,,1,-0.2094997706626597,-2.401493185914443,2026-02-22T17:04:48.302169,14.0821428571428,13,75.0
EIGEN-USDT,15min,LONG,0.18268249999999997,0.1923398,0.1819825,0.1819825,SL,,-0.3831784653702344,LOSS,,1,-0.3188592229687891,-2.5084504536559122,2026-02-22T17:05:42.555418,13.796142857142787,13,75.0
EPT-USDT,15min,LONG,0.0011501489999999998,0.00120407,0.00113536,0.00113536,SL,,-1.2858334007158954,LOSS,,2,-0.6215716398483948,-7.490246915834364,2026-02-22T11:23:21.249609,3.646695652173905,13,76.9
EPT-USDT,15min,LONG,0.0011501489999999998,0.00120407,0.00113536,0.00113536,SL,,-1.2858334007158954,LOSS,,2,-0.6215716398483948,-7.490246915834364,2026-02-22T11:23:39.211564,3.646695652173905,13,76.9
EPT-USDT,15min,LONG,0.0011441429999999998,0.00120407,0.00112936,0.00112936,SL,,-1.292058772373713,LOSS,,2,-0.09990009990009036,-7.004631414080212,2026-02-22T11:26:22.199955,4.052898550724629,13,76.9
EPT-USDT,15min,LONG,0.0011441429999999998,0.00120407,0.00112936,0.00112936,SL,,-1.292058772373713,LOSS,,2,-0.09990009990009036,-7.004631414080212,2026-02-22T11:26:51.130947,4.052898550724629,13,76.9
EPT-USDT,15min,LONG,0.0011401389999999999,0.00120407,0.00112535,0.00112535,SL,,-1.2971225438301701,LOSS,,2,0.25093431590359183,-6.678045396219217,2026-02-22T11:29:07.271348,4.323700483091773,13,76.9
EPT-USDT,15min,LONG,0.0011381369999999998,0.00120407,0.00112335,0.00112335,SL,,-1.299228476009464,LOSS,,2,0.4272772082798586,-6.513890682756096,2026-02-22T11:29:36.857019,4.459101449275353,13,76.9
EPT-USDT,15min,LONG,0.0011341329999999998,0.00120407,0.00111935,0.00111935,SL,,-1.303462645033675,LOSS,,2,0.7818307023955813,-6.183842635740235,2026-02-22T11:32:02.378233,4.729903381642498,13,76.9
EPT-USDT,15min,LONG,0.0011341329999999998,0.00120407,0.00111935,0.00111935,SL,,-1.303462645033675,LOSS,,2,0.7818307023955813,-6.183842635740235,2026-02-22T11:32:04.505976,4.729903381642498,13,76.9
EPT-USDT,15min,LONG,0.0011331319999999998,0.00120407,0.00111835,0.00111835,SL,,-1.3045258628297376,LOSS,,2,0.8708605881750863,-6.100966171637529,2026-02-22T11:32:18.348305,4.797603864734287,13,76.9
EPT-USDT,15min,LONG,0.0011281269999999998,0.00120407,0.00111334,0.00111334,SL,,-1.3107566789909142,LOSS,,2,1.318379934174087,-5.684377734067154,2026-02-22T11:34:52.695103,5.136106280193222,13,76.9
EPT-USDT,15min,LONG,0.0011281269999999998,0.00120407,0.00111334,0.00111334,SL,,-1.3107566789909142,LOSS,,2,1.318379934174087,-5.684377734067154,2026-02-22T11:35:03.447158,5.136106280193222,13,76.9
