[FIRED] Logged: 178889e7-2c25-4367-9a64-2ef335a0a744, DOGE-USDT, 3min, LONG, 2025-09-25T22:02:06.493308, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: d129bc48-52b0-4098-a77c-2029b2dd87f9, RAY-USDT, 3min, LONG, 2025-09-25T22:02:17.190591, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 71.2%
[FIRED] Logged: 544df855-3d84-4819-8cf6-95e2ba23de90, BERA-USDT, 3min, LONG, 2025-09-25T22:03:50.929082, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 2b82dd7f-8456-42a3-ac42-6f4398d8a2fd, BERA-USDT, 5min, LONG, 2025-09-25T22:03:52.592889, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.8, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.9%
[FIRED] Logged: 3330ed1c-f27e-4f4d-a7ce-2c2947bf8309, ARKM-USDT, 3min, LONG, 2025-09-25T22:04:15.658328, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: be0ffec0-26a6-49d7-a8e4-004eb72f3dc5, BERA-USDT, 3min, LONG, 2025-09-25T22:05:43.875462, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: b269fa93-10e6-46c0-bbf8-1385831ff30b, BERA-USDT, 5min, LONG, 2025-09-25T22:05:45.612631, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.8, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.9%
[FIRED] Logged: 58901820-a7fe-465d-b788-29966e8ba2c3, VIRTUAL-USDT, 3min, LONG, 2025-09-25T22:05:51.468332, 98, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 71.2%
[FIRED] Logged: 20bc1501-14d3-4910-8f65-e79d6781ff0b, ARKM-USDT, 3min, LONG, 2025-09-25T22:06:10.680198, 97, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: 2b38b9f1-c8cb-4dc0-b97d-df4a969c0c6e, BERA-USDT, 3min, LONG, 2025-09-25T22:07:40.054807, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: d5349fd9-5c1b-4dc4-93a3-fbbe175986e2, BERA-USDT, 5min, LONG, 2025-09-25T22:07:41.780027, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.8, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.9%
[FIRED] Logged: 5ed4799a-c9be-4e4c-b90d-ce459bff8c9d, BERA-USDT, 3min, LONG, 2025-09-25T22:09:32.929759, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: ea009e86-336d-48f1-a753-e739b6927315, PARTI-USDT, 3min, LONG, 2025-09-25T22:09:39.866089, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.2%
[FIRED] Logged: 828b71d3-8c4e-403f-9720-a20893ba90f4, VINE-USDT, 3min, LONG, 2025-09-25T22:09:44.295760, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 3a30d404-2582-4fef-88f3-0068cf865963, BERA-USDT, 3min, LONG, 2025-09-25T22:11:26.062727, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 1f3107a0-df86-41fd-926c-8602b1465295, UNI-USDT, 3min, LONG, 2025-09-25T22:11:28.397475, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
