[2026-03-06 19:57:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:57:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:58:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 19:58:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 19:59:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:00:47 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:00:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:00:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:01:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:01:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:02:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:02:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:03:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:03:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:04:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:04:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:05:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:06:01 GMT+7] 🔴 EXECUTOR        | RUNTIME_ERROR        | Unexpected error: AttributeError: 'PECExecutor' object has no attribute 'sent_signals_path'
[2026-03-06 20:06:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:07:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:07:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:08:51 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
[2026-03-06 20:08:51 GMT+7] 🟡 FLOW            | NO_RECENT            | No signals fired in last hour
[2026-03-06 20:09:52 GMT+7] 🔴 EXECUTOR        | NOT_RUNNING          | pec_executor.py process not found
